---------------------------------------------------------------------------------------------------
Date: 8/26/2026 -- 23:53:37 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
Date: 8/26/2026 -- 23:54:33 (uptime: 0d, 00h 01m 04s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 6364
capture.afpacket.polls                                       | Total                     | 7775
capture.afpacket.poll_timeout                                | Total                     | 7127
capture.afpacket.poll_data                                   | Total                     | 648
decoder.pkts                                                 | Total                     | 6363
decoder.bytes                                                | Total                     | 6789577
decoder.ipv4                                                 | Total                     | 6333
decoder.ipv6                                                 | Total                     | 30
decoder.ethernet                                             | Total                     | 6363
decoder.tcp                                                  | Total                     | 6359
tcp.syn                                                      | Total                     | 285
tcp.synack                                                   | Total                     | 272
tcp.rst                                                      | Total                     | 29
decoder.icmpv6                                               | Total                     | 4
decoder.avg_pkt_size                                         | Total                     | 1067
decoder.max_pkt_size                                         | Total                     | 32834
tcp.active_sessions                                          | Total                     | 23
flow.total                                                   | Total                     | 303
flow.active                                                  | Total                     | 303
flow.tcp                                                     | Total                     | 301
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 12
tcp.sessions                                                 | Total                     | 23
tcp.ssn_from_pool                                            | Total                     | 23
tcp.invalid_checksum                                         | Total                     | 3058
flow.mgr.full_hash_pass                                      | Total                     | 7
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 10100
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 281
flow.mgr.flows_notimeout                                     | Total                     | 281
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9817056
---------------------------------------------------------------------------------------------------
Date: 8/26/2026 -- 23:54:41 (uptime: 0d, 00h 01m 12s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 6663
capture.afpacket.polls                                       | Total                     | 8492
capture.afpacket.poll_timeout                                | Total                     | 7822
capture.afpacket.poll_data                                   | Total                     | 670
decoder.pkts                                                 | Total                     | 6750
decoder.bytes                                                | Total                     | 6911869
decoder.ipv4                                                 | Total                     | 6720
decoder.ipv6                                                 | Total                     | 30
decoder.ethernet                                             | Total                     | 6750
decoder.tcp                                                  | Total                     | 6746
tcp.syn                                                      | Total                     | 324
tcp.synack                                                   | Total                     | 311
tcp.rst                                                      | Total                     | 29
decoder.icmpv6                                               | Total                     | 4
decoder.avg_pkt_size                                         | Total                     | 1023
decoder.max_pkt_size                                         | Total                     | 32834
tcp.active_sessions                                          | Total                     | 16
flow.total                                                   | Total                     | 342
flow.active                                                  | Total                     | 327
flow.tcp                                                     | Total                     | 340
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 12
tcp.sessions                                                 | Total                     | 23
tcp.ssn_from_pool                                            | Total                     | 23
tcp.invalid_checksum                                         | Total                     | 3250
flow.end.state.new                                           | Total                     | 15
flow.end.tcp_state.syn_sent                                  | Total                     | 7
flow.mgr.full_hash_pass                                      | Total                     | 7
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 10109
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 328
flow.mgr.flows_notimeout                                     | Total                     | 313
flow.mgr.flows_timeout                                       | Total                     | 15
flow.mgr.flows_evicted                                       | Total                     | 15
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 15
flow.recycler.queue_max                                      | Total                     | 6
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9817056
---------------------------------------------------------------------------------------------------
Date: 8/26/2026 -- 23:54:49 (uptime: 0d, 00h 01m 20s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 7022
capture.afpacket.polls                                       | Total                     | 9567
capture.afpacket.poll_timeout                                | Total                     | 8863
capture.afpacket.poll_data                                   | Total                     | 704
decoder.pkts                                                 | Total                     | 7026
decoder.bytes                                                | Total                     | 7003473
decoder.ipv4                                                 | Total                     | 6996
decoder.ipv6                                                 | Total                     | 30
decoder.ethernet                                             | Total                     | 7026
decoder.tcp                                                  | Total                     | 7022
tcp.syn                                                      | Total                     | 329
tcp.synack                                                   | Total                     | 316
tcp.rst                                                      | Total                     | 30
decoder.icmpv6                                               | Total                     | 4
decoder.avg_pkt_size                                         | Total                     | 996
decoder.max_pkt_size                                         | Total                     | 32834
tcp.active_sessions                                          | Total                     | 6
flow.total                                                   | Total                     | 347
flow.active                                                  | Total                     | 287
flow.tcp                                                     | Total                     | 345
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 12
tcp.sessions                                                 | Total                     | 24
tcp.ssn_from_pool                                            | Total                     | 24
tcp.invalid_checksum                                         | Total                     | 3376
flow.end.state.new                                           | Total                     | 60
